id,type_keyword,keyword
127024,IK,MENTAL IMPAIRMENT
176733,AK,monitoring
133582,AK,HIV
19572,AK,Pro-apoptotic activities
75281,IK,KIDNEY
105930,AK,VIP
69026,IK,POLONYI
249592,IK,P300
282004,AK,CD8
199005,AK,cosmology : large-scale structure of Universe
108629,IK,DIMENSIONS
140753,AK,iridium
259079,IK,DIELECTRIC MIRROR COATINGS
272648,AK,imatinib
280799,IK,PERSISTENT FEVER
261383,IK,SYNAPSES
104295,IK,NUMERICAL-SIMULATION
210752,IK,FIBRINOLYTIC THERAPY
20223,IK,CARBENE
236226,IK,OUTCOMES
80387,IK,DEGENERATE PRIMERS
137791,IK,INJECTION
160074,AK,myocardial infarction
259645,AK,galaxies: clusters: individual: Coma (ACO 1656)
118383,IK,RADIATION-THERAPY
78946,IK,GALAXY LUMINOSITY FUNCTION
216761,IK,GRAPHS
233541,AK,Mobile Wireless Network
121133,AK,data integration
111999,IK,FRACTURES
89447,IK,JAPAN
78954,AK,galaxies : starburst
30426,IK,WHOLE-GRAIN INTAKE
283064,AK,Outcomes
310522,IK,STOCHASTIC EXCITATION
222731,IK,PRASINOPHYCEAE
72557,IK,PROGNOSTIC VALUE
137791,IK,CEMENT
196392,IK,DIPOLE FORM-FACTORS
79684,AK,muscle
25814,IK,SECURITY
5154,AK,Ca-2 clearance
10047,IK,K-GIANTS
287100,IK,EFFICACY
234202,IK,STIFFNESS ANALYSIS
178936,AK,Particle identification methods
69437,IK,LEGUME SYMBIOSIS
86334,IK,O-METHYLTRANSFERASE
237771,IK,ATHEROSCLEROSIS
155836,IK,GENERALIZED ENTROPIES
87328,AK,risk factors
106385,AK,mouse
66312,IK,APROTININ
259645,IK,RADIO-EMISSION
7881,IK,EXCHANGE-RATE
198470,IK,GROWTH
218527,IK,CORONA DISCHARGE
162668,IK,WAVE
209255,IK,DECALIN
249346,IK,INITIAL TREATMENT
212290,IK,QUANTUM
308118,IK,NATURAL-HISTORY
202235,IK,ENERGY-LOSS-SPECTROSCOPY
28876,IK,T-TAURI STARS
212837,AK,suprascapular artery
277506,AK,type IV pilus
282049,IK,CARBONATE
270924,IK,VIBRIO-HOLLISAE
135188,IK,OPTICAL TWEEZERS
203179,AK,statistical methods
299202,AK,ISM: jets and outflows
172187,IK,SURFACE PROTEIN-1
250321,IK,EXTRA-PUSH
259667,IK,BOLOMETRIC CORRECTIONS
78964,AK,galaxies : photometry
252925,IK,ANDROMEDA GALAXY
110181,AK,iron overlaod
56133,IK,MAGNETORESISTANCE
98948,IK,DISEASE
58023,IK,TURBULENT CONVECTION
66463,AK,Sun: oscillations
135093,IK,VIABILITY
303477,AK,pressure sensor
178932,AK,Pixel detectors
71520,IK,LUNG-FUNCTION
213710,IK,CANCER CELLS
282943,IK,IMPACT PROCESSES
37516,IK,POLARIMETER
156071,IK,MODULE
159036,IK,METAMATERIALS
78945,IK,STELLAR MASS
165419,AK,LEAFY
35106,IK,TEV
240928,AK,renal cell carcinoma
297443,IK,VISCOSITY STRATIFICATION
120658,IK,PART I
282570,IK,PLACEBO-CONTROLLED TRIAL
198945,AK,health care quality
69739,IK,HYDROCHLORIC-ACID SOLUTIONS
96781,IK,EARTH INTERMETALLIC COMPOUNDS
76585,IK,DRAINAGE
294412,IK,MORTALITY
9057,IK,COSMOLOGICAL CONSTANT
14337,AK,OSTEOPOROSIS
263973,IK,DROSOPHILA
38884,IK,MORPHOLOGICAL CHARACTERS
154082,AK,exponential
110181,IK,BONE-MARROW-TRANSPLANTATION
75366,IK,BARRIERS
41841,IK,SURFACE
7502,IK,VALIDATION
220943,IK,ALGORITHM
10355,IK,PALEOECOLOGY
12441,AK,Mediterranean
278403,IK,URATE
43056,IK,ALUMINUM
236225,IK,THERAPY
188725,IK,P-GLYCOPROTEIN
302835,AK,voice conversion
5154,AK,Transgenic rats
288512,IK,MICE
181981,IK,LOCAL-ANESTHETICS
29273,IK,PERFORMANCE
53127,IK,NEUTRON-STAR MERGERS
110936,IK,ELECTROWEAK SYMMETRY-BREAKING
20419,IK,DOUBLE-BLIND
15204,IK,KEPLER MISSION
120801,AK,safety assessment
58024,IK,PHOTOMETRY
185491,IK,BODY-WEIGHT
299202,IK,HUBBLE-SPACE-TELESCOPE
219798,AK,high contrast imaging
66312,IK,BYPASS
205972,AK,total hip replacement
20147,AK,LHCb
188152,IK,EXTRACAPSULAR EXTENSION
110003,AK,renal cell carcinoma
80412,IK,VASOCONSTRICTION
272601,IK,EXTENT
74920,AK,spermine
56133,IK,ANISOTROPY
228284,AK,mobile terminal
196512,AK,friction
260182,IK,REPRODUCTIVE STATUS
166559,IK,GLACIAL MAXIMUM
90110,IK,IN-VIVO
291841,AK,Cross-layer
81659,AK,shoulder
131774,IK,HODGKINS LYMPHOMA
258464,IK,PROTOCOL
92737,IK,CHEMICAL BATH DEPOSITION
122198,IK,POLLEN DISTRIBUTION
78959,AK,stars : formation
281805,IK,LONG-DISTANCE PROPAGATION
65529,IK,POINT-SOURCE CATALOG
86334,IK,COA-REDUCTASE
255878,IK,DATA ASSIMILATION SYSTEM
282021,IK,CANCER
294024,IK,ADENOCARCINOMA
147304,AK,management
135093,IK,SOYBEAN SEED
124185,IK,REPEAT EXPANSION
142307,IK,INDUSTRY
237771,IK,LACTATION
22059,AK,Glioblastoma cell lines
11412,IK,AD HOC NETWORKS
39487,IK,SPECTROSCOPY
90110,IK,RANDOMIZED-TRIAL
19650,AK,instrumentation: polarimeters
6175,IK,WEDGES
26672,IK,INFERENCE
194430,IK,STENT THROMBOSIS
16504,IK,HORMONE-RECEPTORS
249350,IK,MULTICENTER EXPERIENCE
89447,AK,collecting duct
173538,IK,MASTREVIRUSES
155280,IK,EXTENSION
56388,IK,BOAR
5526,IK,SEMICONDUCTOR TRACKER
24509,IK,TO-LIGHT RATIOS
223383,IK,ADP/ATP CARRIER
187321,IK,MULTISTICKER ASSOCIATIVE POLYELECTROLYTES
10353,IK,HUMAN-EVOLUTION
187321,IK,WATER-SOLUBLE COPOLYMERS
98262,IK,MOMENT
262683,IK,TERM-FOLLOW-UP
110390,IK,ATP
69982,IK,ANTITUMOR-ACTIVITY
186581,IK,ACTIVE GALACTIC NUCLEI
67472,AK,TRABECULAR BONE MICROARCHITECTURE
236225,IK,RADICAL PROSTATECTOMY
211474,AK,bone
248379,AK,nevirapine
92737,AK,zinc oxide
198945,IK,ACUTE MYOCARDIAL-INFARCTION
33900,IK,SURFACE-STRUCTURE
212438,IK,VISCOSITY STRATIFICATION
237402,IK,DURATION
249350,AK,"carcinoma, renal cell"
7384,AK,Ab initio
129553,IK,INTERLEUKIN-6
56416,IK,PHOTOELECTRON
261383,IK,CA3
131774,IK,LYMPHOPROLIFERATIONS
286553,AK,DMA
92737,AK,optical and electrical properties
248864,IK,M8
167555,IK,VOLUME FRACTION
178932,AK,Electrons
108007,AK,apoptosis
285036,AK,Boundary lubrication
294023,IK,FOLLOW-UP
259615,IK,MODELS
294024,IK,SALVAGE RADIOTHERAPY
87830,IK,MOLECULAR-DYNAMICS
301030,IK,STRUCTURAL CONGRUENCE
280247,IK,EUROPEAN BREEDING BLANKETS
55776,IK,PEOPLE
246823,AK,Recurrent abscesses
169270,AK,risk factors
254360,AK,Geographic survey
103867,IK,AXON GUIDANCE
263793,IK,MICELLAR COPOLYMERIZATION
110017,IK,EX-VIVO
216645,AK,Baptistonia
278487,AK,metabonomics
66530,IK,CYTOGENETIC RESPONSES
249347,AK,Stents
24208,IK,SEA-LEVEL
26764,AK,Cardiovascular risk
286553,AK,starch nanocrystals
254360,IK,EVOLUTION
146033,IK,ACUTE VENOUS THROMBOEMBOLISM
89447,IK,KIDNEY
282023,IK,CELL CARCINOMA
75366,AK,decentralization
235341,IK,THERAPY
24209,IK,PARTON DISTRIBUTIONS
255882,IK,TROPICAL INDIAN-OCEAN
186440,IK,MOBILITY MANAGEMENT
43056,AK,Acidity
194936,IK,DIAGNOSIS
273010,AK,apoptosis
39487,IK,FE
39382,IK,T-TAURI
167389,IK,HEAVY-NUCLEI
78953,IK,FORMATION HISTORY
62416,IK,C-C BOND
178932,AK,Minimum-bias events
135188,AK,magnetic tweezers
159948,AK,detection
109301,IK,HIGH-RESOLUTION
90110,IK,FEMORAL-NECK
282049,IK,MILD WEAR REGIME
260631,AK,Coq
262034,IK,BOOTSTRAP
169055,AK,Fragility fracture
166559,AK,isostasy
140837,IK,EPITAXY
82351,AK,FISH-TSA
235293,IK,CML-CP
63433,IK,DONEPEZIL
13756,IK,ROOT-S=1.96 TEV
19646,IK,DESIGN
57930,IK,TUBULAR REACTORS
214283,IK,REGISTRY
78943,AK,galaxies : fundamental parameters
66463,IK,VELOCITY
295005,AK,prostatic neoplasms
178932,AK,Event filter
37516,AK,cosmology: cosmic background radiation
181250,IK,RISK MYELODYSPLASTIC SYNDROME
248328,IK,RESIDUAL DISEASE
74650,IK,INTERNAL GRAVITY-WAVES
255406,IK,ADVANCED BLADDER-CANCER
203991,IK,BRUSHES
225501,IK,POLICIES
53126,IK,CORE-COLLAPSE
299202,AK,stars: formation
178932,AK,CERN
255406,IK,NEOADJUVANT CHEMOTHERAPY
74240,IK,RETROSTERNAL DISLOCATION
246823,AK,Moxifloxacin
244056,IK,PHAGE DISPLAY
293384,AK,lymphatic metastases
204450,IK,MAGNETOSPHERIC ACCRETION MODELS
294637,IK,TUMOR
5533,IK,MAGNETIC-FIELDS
178934,IK,MODULES
123499,IK,RESOLUTION
70254,IK,PONTO-CASPIAN INVADER
260939,AK,mTOR
234526,IK,LAMBDA-HYPERNUCLEI
12476,IK,SECONDARY STRUCTURE
188773,IK,TASK-FORCE
70254,AK,Alsatian freshwater
50512,AK,Calcium phosphate cement
242882,AK,Thermoplastic vulcanizated
69286,AK,Infrared
561,IK,OUTFLOW ACTIVITY
111832,AK,fractures
114792,AK,inhaled steroids
196512,AK,Auger electron spectroscopy
282570,IK,CARDIOLOGY
213271,AK,correlation functions
290559,AK,Tabu Search heuristic
5524,IK,ELECTRONICS
90110,IK,RISEDRONATE TREATMENT
276367,AK,international criteria
8063,AK,Large detector systems for particle and astroparticle physics
205972,AK,osteoarthritis
203991,IK,DIBLOCK COPOLYMERS
249346,AK,Fondaparinux
178933,IK,TPC DATA-COMPRESSION
50512,AK,Polysaccharide
64902,AK,Tumour necrosis
307917,IK,EXPRESSION
275136,IK,CONSERVATIVE STRATEGIES
80412,IK,EXPRESSION
131775,IK,MINIMAL RESIDUAL DISEASE
272162,IK,AQUEOUS FOAM
92656,IK,FOLLOW-UP
216379,AK,symptom classification
96661,IK,CYCLASE-ACTIVATING POLYPEPTIDE
260182,IK,FOOD
113249,AK,insulin
103867,IK,CHEMOTACTIC CELLS
162668,IK,PHASE-SHIFTER
209255,IK,ZIRCONIA ISOMERIZATION CATALYSTS
249943,IK,COLLISIONS
561,IK,HERBIG AE/BE STARS
19641,IK,MICROWAVE BACKGROUND ANISOTROPY
109301,IK,GALACTIC DUST EMISSION
7881,IK,TRADE BALANCE
266189,IK,HEXAGONAL FERRITE
281269,IK,TRIBOEMISSION
196269,IK,MOMENT
181413,IK,MODES
101644,IK,INTERFEROMETER
189878,IK,BETA RECEPTOR
14025,IK,RELATIVE SPECTRA
250570,IK,SURVIVAL
25019,IK,GLOBAL REANALYSIS
295326,AK,GFAP delta
168716,IK,EXTINCT RADIOACTIVITIES
135188,IK,RNA-POLYMERASE
106385,IK,DENTATE GRANULE CELLS
283064,IK,AIRWAY PRESSURE
212837,AK,thoraco-acromial trunk
194936,IK,SEPTIC SHOCK
2976,IK,HEAVY QUARKS
118393,IK,HADRON COLLIDERS
6824,AK,rabbit Purkinje fibres
211172,AK,trigger
62194,IK,STEM-CELLS
258262,IK,PHAGE-LAMBDA
283849,IK,GROWTH-FACTORS
106719,IK,DESTRUCTION
78942,IK,EXTRAGALACTIC DISTANCE SCALE
248379,IK,ANTIRETROVIRAL TREATMENT
235738,IK,ACUTE MYOCARDIAL-INFARCTION
297586,IK,DRAINAGE
272601,IK,UPPER URINARY-TRACT
201831,AK,protein-DNA interaction
186581,IK,LYMAN-BREAK GALAXIES
32296,AK,Phospholipid
155521,IK,SURFACTANT
20152,IK,HADRON COLLIDERS
240928,IK,CARCINOGENESIS
83807,IK,MOLECULAR-DIFFUSION
299713,IK,NEPHRON-SPARING SURGERY
28302,IK,IMAGES
223905,AK,fungi
201084,IK,SUPERLOW-FRICTION
21861,IK,CENTRAL ELECTROMAGNETIC CALORIMETER
252411,IK,GAMMA-DELTA CELLS
187993,IK,BLOOD-PRESSURE
67472,IK,QUALITY
282348,IK,SYSTEMS
153501,AK,high-level multisource information fusion
151141,IK,COVERAGE
237812,IK,MASTREVIRUSES
213710,IK,PROGRESSION
141505,IK,THIN-FILMS
20223,IK,LIGANDS
237029,IK,COMPLICATIONS
108629,IK,GASES
79684,AK,diffusion tensor imaging
66312,AK,Mass spectrometry
272162,AK,Foam
250571,IK,LYMPHADENECTOMY
126475,AK,ferrite film
58026,IK,CONVECTION
69300,IK,AUREUS
198648,IK,DEMENTIA
220943,IK,CRYPTOGRAPHY
76585,IK,AREAS
197926,AK,urban
260939,IK,P38 MAPK ACTIVATION
212837,AK,vascularization
110003,IK,NOMOGRAM
155174,IK,RED GIANT BRANCH
238176,IK,NEEDLE PERCUTANEOUS BIOPSY
221906,IK,DEPOSITS
39675,IK,VERSUS-HOST-DISEASE
135093,AK,microclimate
106385,AK,spatial memory
304945,AK,Chemotherapy
270280,IK,CANCER
189878,IK,UPDATE
234934,IK,CARBON COATINGS
154773,IK,ACUTE MYOCARDIAL-INFARCTION
267082,IK,MULTILAYERS
38841,IK,GLOBULAR-CLUSTERS
168286,IK,VELOCITY
19572,IK,PRODUCTS
263973,AK,Polycomb group proteins
105534,IK,ANGIOLEIOMYOMA
280470,IK,DEL(5Q) MDS
174544,IK,CENTRAL ELECTROMAGNETIC CALORIMETER
169270,AK,Vitamin K antagonist
307275,IK,WILMS-TUMOR
219926,IK,ALLELE FREQUENCY DATA
282570,AK,Guidelines
275732,AK,Alkylpyridines
84040,IK,GAMMA-DORADUS STARS
55776,IK,DETERMINANTS
57838,AK,FtsK DNA translocase
30067,AK,Eye tap
216528,IK,SPACES
14560,IK,METHYLTRANSFERASE
85183,AK,layersomes
303477,AK,photoluminescence
286553,IK,AMYLOSE
5525,IK,CONSTRUCTION
69982,IK,FOLLOW-UP
108519,IK,MICELLIZATION
82351,AK,Ria de Pontevedra
259645,IK,LARGE-SCALE STRUCTURE
62416,IK,INTRAMOLECULAR 2+2 PHOTOCYCLOADDITION
215147,AK,photolysis
270282,IK,RADICAL NEPHRECTOMY
200531,IK,ORGANIC-SOLVENTS
259079,IK,SIO2
248539,IK,DIARRHEA
76563,IK,SYNCHROTRON X-RAY
57930,IK,MASS-SPECTROMETRY
113968,AK,magnetic spectrometer
245462,IK,DISTRIBUTED MODEL
253606,AK,generalization of Einstein's relation for fluctuations
13158,IK,RT-PCR
207137,IK,FLAT LENS
226358,IK,GROUND-STATES
244222,AK,Congenital hip dysplasia
294412,IK,ACCURACY
26764,IK,I FIBRILLINOPATHIES
94363,IK,DENSITY
176124,IK,REFRACTION
87830,IK,COORDINATION STRUCTURE
171658,IK,APOPTOSIS
7425,AK,methods: data analysis
121194,AK,sales and operation planning
88887,IK,VALIDATION
290422,IK,PSEUDOHYPERICIN
110003,IK,NATURAL-HISTORY
25606,IK,BONE-MARROW-TRANSPLANTATION
261333,IK,SELECTION
63908,IK,NEUTRON-STARS
118393,IK,Z-GAMMA PRODUCTION
96839,IK,DISTRIBUTIONS
69286,IK,SPECTROSCOPY
25467,IK,PARAMETRIC-INSTABILITIES
10352,IK,OLDUVAI BED-I
188773,IK,INTERVENTION
42181,AK,breast cancer
310382,IK,QUATERNIZED POLY(4-VINYLPYRIDINE)
198945,IK,ELDERLY-PATIENTS
29484,IK,INFORMATION RECOVERY
287397,IK,WEST-AFRICA
82351,AK,pigments
184538,AK,5q deletion
83446,AK,sea-level
110936,IK,B-C MESON
69300,AK,glycopeptides
205893,AK,model reusability
131774,AK,immunoglobulin (Ig) genes
305434,IK,MITOCHONDRIAL-DNA
15102,IK,CLASSIFICATION
6182,AK,Trigger detetectors
106385,IK,RAT HIPPOCAMPUS
198470,IK,CHRONIC MYELOGENOUS LEUKEMIA
93807,IK,OUTCOMES
273796,IK,SURVIVAL
86334,IK,MONOLIGNOL BIOSYNTHESIS
37559,AK,methods: data analysis
225501,AK,supply chain planning
275136,IK,OUTCOMES
194774,IK,BLOOD-TRANSFUSION
157463,IK,HUMAN-BRAIN-TUMORS
90834,AK,methods : observational
71568,IK,GRAPEVINE LEAVES
234345,AK,ICAP
18092,IK,PREDICTORS
54786,IK,WATER
275660,IK,MOUSE
38662,IK,NEPHRECTOMY
58025,AK,stars: interiors
200718,IK,SKIN
295650,IK,P-TYPE ATPASE
144928,AK,floating-point arithmetic
194936,IK,OUTCOMES
79175,AK,nephrectomy
84812,AK,anaemia
216379,IK,SURVIVAL
178932,AK,Tracking algorithms
42181,AK,protease activation
110003,IK,ADULT
314840,IK,LESIONAL EPILEPSY
235219,IK,MASS-METALLICITY RELATION
67204,IK,HUMAN TROPHOBLAST INVASION
54502,IK,PATIENT
199752,IK,MANAGEMENT
177291,IK,REPOLARIZATION
155292,AK,imatinib mesylate
259645,AK,gamma rays: observations
244056,AK,Phage display
178933,AK,Data processing methods
34968,IK,DECOMPOSITION
71715,IK,RHODIUM GEM-DICARBONYL
6874,IK,CONTROLLED TRIAL
283064,AK,Acute respiratory failure
233541,AK,Handover
33556,IK,SINGLE-MOLECULE
21267,IK,RECOVERY
20419,IK,ISCHEMIC EVENTS
67472,IK,FRACTURE
104292,IK,LOW-METALLICITY ENVIRONMENTS
38699,IK,PHASE-SPACE
6965,IK,PROGNOSTIC-FACTORS
294023,IK,MULTIINSTITUTIONAL VALIDATION
163723,IK,RADICAL NEPHRECTOMY
118909,IK,SPIRAL STRUCTURE
162668,IK,INDEX
282049,AK,nanoparticles
255878,IK,OCEAN DATA ASSIMILATION
116936,IK,VIOLATION
55751,IK,NATURAL-PRODUCTS
248328,IK,T(8/21)
98060,IK,PREVENTION
194936,IK,EJECTION FRACTION
115503,IK,PROGRESSION-FREE SURVIVAL
104360,IK,ASSAY
178932,AK,Forward calorimetry
96661,IK,HISTIDINE ISOLEUCINE
57201,IK,TOTAL NEURON NUMBER
216645,AK,Orchidaceae
110017,IK,ALLOGENEIC TRANSPLANTATION
178932,IK,TRANSITION RADIATION TRACKER
207714,AK,transmission electron microscopy
28046,IK,FRICTION-ENHANCING PROPERTIES
120658,AK,code-division multiple access (CDMA)
51686,AK,prognosis
214574,AK,Coronagraphy
179543,IK,MORPHOGEN GRADIENTS
282570,AK,Elderly
55751,IK,BASE-MEDIATED REACTION
198508,IK,SEA-FLOOR
221658,IK,RAW
73766,AK,HOL Light
73584,IK,ONCOLOGICAL OUTCOMES
80347,IK,BETA-CAROTENE
10316,AK,In-hospital management
237402,AK,Bispectral index
310382,IK,COPOLYMERS
77815,IK,COEFFICIENT MEASUREMENTS
124950,AK,Fuhrman grade
64478,IK,MICELLIZATION KINETICS
135188,IK,STRUCTURAL TRANSITIONS
286272,IK,RISK-FACTORS
92656,IK,CEMENT REMOVAL
205972,AK,hip dysplasia
50512,IK,BIOCOMPATIBILITY
236338,AK,Phanerochaete chrysosporium
113968,IK,DRIFT CHAMBER ELECTRONICS
76447,IK,IRREGULAR GALAXIES
137287,IK,COLI TOPOISOMERASE-IV
18747,AK,Alzheimer's disease
78966,IK,MAGNITUDE RELATION
293543,IK,BRACHYTHERAPY
284535,IK,IN-VITRO
15767,IK,AMERICAN-COLLEGE
81659,AK,superficial cervical plexus
31661,IK,PHYSICS
197926,AK,hydrology
213779,IK,SCORING SYSTEM
63528,IK,LINEAR MULTIUSER RECEIVERS
220304,IK,SYSTEMS
295005,IK,RETROPUBIC PROSTATECTOMY
220304,IK,INTERNET
56041,AK,suspensions
131775,AK,clonality
106068,IK,CHROMATE
87169,IK,INHIBITOR
294637,IK,SURVIVAL
211474,IK,QUANTIFICATION
266036,AK,cheese odor compound
14137,IK,IN-VITRO
10355,IK,PLEISTOCENE
249638,AK,p53
244418,IK,SEXUAL-DIMORPHISM
202235,IK,IF-WS2
