id,subject
290422,"Chemistry, Analytical"
92737,"Physics, Applied"
297437,Oncology
73104,Cardiac & Cardiovascular Systems
247757,Biochemistry & Molecular Biology
110017,Hematology
113968,Instruments & Instrumentation
254235,"Physics, Applied"
254235,"Chemistry, Physical"
38699,"Physics, Multidisciplinary"
167555,Endocrinology & Metabolism
259506,"Psychology, Multidisciplinary"
213710,Cell Biology
133868,Electrochemistry
78950,Astronomy & Astrophysics
61989,"Computer Science, Information Systems"
315689,"Computer Science, Hardware & Architecture"
221906,Geology
69739,"Physics, Atomic, Molecular & Chemical"
181413,Optics
111565,"Physics, Particles & Fields"
292060,"Physics, Multidisciplinary"
170485,"Physics, Multidisciplinary"
164544,Hematology
32296,Parasitology
124950,Oncology
129553,Cell Biology
210753,Cardiac & Cardiovascular Systems
304268,"Computer Science, Theory & Methods"
170377,Fisheries
222894,"Computer Science, Theory & Methods"
286678,Cardiac & Cardiovascular Systems
208388,Urology & Nephrology
245,"Physics, Atomic, Molecular & Chemical"
317322,Telecommunications
189929,"Physics, Mathematical"
219926,Ecology
225501,"Engineering, Industrial"
253356,Astronomy & Astrophysics
290882,Hematology
231931,"Engineering, Electrical & Electronic"
37539,Astronomy & Astrophysics
177048,"Physics, Condensed Matter"
199005,Astronomy & Astrophysics
291572,Endocrinology & Metabolism
120658,"Engineering, Electrical & Electronic"
258354,Multidisciplinary Sciences
294249,"Computer Science, Hardware & Architecture"
237812,Biotechnology & Applied Microbiology
235341,Oncology
98060,Peripheral Vascular Disease
254713,"Engineering, Manufacturing"
47187,"Radiology, Nuclear Medicine & Medical Imaging"
133994,"Physics, Multidisciplinary"
69026,"Physics, Multidisciplinary"
231849,"Computer Science, Hardware & Architecture"
159647,Hematology
116711,"Physics, Nuclear"
102266,Geochemistry & Geophysics
282600,Genetics & Heredity
48329,"Materials Science, Multidisciplinary"
38841,Astronomy & Astrophysics
213779,Hematology
282570,Cardiac & Cardiovascular Systems
15102,Hematology
104757,Cell Biology
175081,"Engineering, Chemical"
245394,Telecommunications
187993,Peripheral Vascular Disease
259784,"Physics, Multidisciplinary"
236338,Cell Biology
220634,"Computer Science, Artificial Intelligence"
310413,Astronomy & Astrophysics
111999,Anatomy & Morphology
7489,Astronomy & Astrophysics
233402,Telecommunications
147365,"Engineering, Manufacturing"
83082,"Chemistry, Medicinal"
314247,"Engineering, Industrial"
43169,Astronomy & Astrophysics
170001,Oncology
172333,"Computer Science, Artificial Intelligence"
125616,Urology & Nephrology
197926,Water Resources
111999,"Radiology, Nuclear Medicine & Medical Imaging"
77073,Telecommunications
13750,Astronomy & Astrophysics
282004,Transplantation
57930,"Chemistry, Applied"
221658,"Agriculture, Dairy & Animal Science"
244418,Physiology
49303,"Medicine, Research & Experimental"
308997,"Engineering, Electrical & Electronic"
133582,Cell Biology
26672,Evolutionary Biology
116644,"Materials Science, Multidisciplinary"
280009,Hematology
218527,"Engineering, Chemical"
310458,Astronomy & Astrophysics
238177,Urology & Nephrology
55776,"Psychology, Multidisciplinary"
108452,Oncology
187238,"Physics, Multidisciplinary"
81659,Surgery
95911,"Physics, Condensed Matter"
153523,Telecommunications
188152,Urology & Nephrology
203846,Astronomy & Astrophysics
21267,Biophysics
125577,Urology & Nephrology
87328,Peripheral Vascular Disease
174396,Urology & Nephrology
249347,Peripheral Vascular Disease
167389,"Physics, Particles & Fields"
217428,Business
60763,Transplantation
33556,Biochemistry & Molecular Biology
214001,"Materials Science, Coatings & Films"
282264,Cardiac & Cardiovascular Systems
153501,Remote Sensing
122198,"Geosciences, Multidisciplinary"
63948,Astronomy & Astrophysics
223729,"Computer Science, Theory & Methods"
219791,Optics
228886,"Computer Science, Information Systems"
286553,"Materials Science, Multidisciplinary"
173538,Biotechnology & Applied Microbiology
127024,Genetics & Heredity
159390,Hematology
140398,"Computer Science, Interdisciplinary Applications"
6873,Respiratory System
280024,Hematology
78954,Astronomy & Astrophysics
27114,Biochemistry & Molecular Biology
113249,Biophysics
37516,Astronomy & Astrophysics
299713,Urology & Nephrology
272648,Hematology
220065,Telecommunications
171658,Biochemistry & Molecular Biology
230414,Pharmacology & Pharmacy
281352,"Chemistry, Multidisciplinary"
244396,"Physics, Fluids & Plasmas"
179731,"Physics, Condensed Matter"
73766,"Computer Science, Software Engineering"
275732,"Engineering, Chemical"
244222,Surgery
283849,Oncology
300083,"Engineering, Electrical & Electronic"
201031,Biotechnology & Applied Microbiology
146793,"Computer Science, Artificial Intelligence"
122198,"Geography, Physical"
275571,Polymer Science
206175,"Materials Science, Multidisciplinary"
248328,Hematology
200471,"Physics, Applied"
133868,Instruments & Instrumentation
5437,"Medicine, Research & Experimental"
234526,"Physics, Nuclear"
120801,Meteorology & Atmospheric Sciences
217248,"Engineering, Electrical & Electronic"
66312,Medical Laboratory Technology
24240,"Physics, Particles & Fields"
31661,"Physics, Multidisciplinary"
240429,Hematology
244383,"Physics, Particles & Fields"
248118,Mechanics
56994,Virology
255470,Hematology
12476,Virology
275592,Virology
57201,Multidisciplinary Sciences
6168,Instruments & Instrumentation
63636,Cardiac & Cardiovascular Systems
263973,Biochemistry & Molecular Biology
131781,Hematology
310515,"Physics, Applied"
285425,Pharmacology & Pharmacy
84000,Peripheral Vascular Disease
87373,Paleontology
222900,"Computer Science, Theory & Methods"
194774,Cardiac & Cardiovascular Systems
286516,"Physics, Multidisciplinary"
153501,"Computer Science, Information Systems"
266814,Astronomy & Astrophysics
228882,"Computer Science, Information Systems"
168357,Neurosciences
159394,Hematology
248129,Biology
262683,Pathology
5542,"Physics, Multidisciplinary"
169062,Surgery
60763,Immunology
56433,Clinical Neurology
216645,Plant Sciences
140837,"Materials Science, Multidisciplinary"
161236,Mathematics
137542,"Computer Science, Theory & Methods"
147365,Telecommunications
224738,"Physics, Applied"
266394,"Physics, Mathematical"
252106,Cardiac & Cardiovascular Systems
86334,Biochemistry & Molecular Biology
4274,Obstetrics & Gynecology
56433,Surgery
88215,Astronomy & Astrophysics
275136,"Medicine, General & Internal"
172187,Infectious Diseases
42180,Oncology
93807,"Medicine, General & Internal"
318053,"Engineering, Electrical & Electronic"
34591,Oncology
27303,"Materials Science, Multidisciplinary"
82990,Hematology
54786,"Materials Science, Multidisciplinary"
219926,Genetics & Heredity
179273,"Medicine, Research & Experimental"
159036,"Physics, Multidisciplinary"
80347,"Agriculture, Dairy & Animal Science"
113968,Nuclear Science & Technology
279401,Virology
129298,"Physics, Multidisciplinary"
64735,"Materials Science, Multidisciplinary"
204416,Virology
222840,"Engineering, Mechanical"
230891,"Computer Science, Hardware & Architecture"
131775,Oncology
227379,"Engineering, Electrical & Electronic"
18535,Veterinary Sciences
207386,"Physics, Applied"
228281,"Computer Science, Theory & Methods"
288164,Polymer Science
159363,"Chemistry, Inorganic & Nuclear"
238841,"Physics, Particles & Fields"
290848,Hematology
284443,"Physics, Mathematical"
150879,"Engineering, Electrical & Electronic"
228239,"Engineering, Electrical & Electronic"
162668,Optics
14137,Biochemical Research Methods
221244,"Computer Science, Theory & Methods"
293112,Pharmacology & Pharmacy
200531,"Chemistry, Multidisciplinary"
150137,"Engineering, Electrical & Electronic"
282049,"Physics, Multidisciplinary"
25703,"Physics, Applied"
168716,"Physics, Nuclear"
192033,Oncology
216761,"Computer Science, Hardware & Architecture"
142307,Health Care Sciences & Services
271861,"Geosciences, Multidisciplinary"
259506,Psychology
309295,"Engineering, Manufacturing"
263375,Astronomy & Astrophysics
309170,Energy & Fuels
211172,"Engineering, Electrical & Electronic"
287100,Cardiac & Cardiovascular Systems
248129,Cell Biology
109099,Cell Biology
30067,Information Science & Library Science
271155,Nuclear Science & Technology
26764,Cardiac & Cardiovascular Systems
78298,Astronomy & Astrophysics
106719,Infectious Diseases
313182,"Computer Science, Information Systems"
153813,Multidisciplinary Sciences
233541,"Engineering, Electrical & Electronic"
71906,Food Science & Technology
282004,Immunology
98498,Astronomy & Astrophysics
19895,"Computer Science, Information Systems"
5533,"Physics, Particles & Fields"
263864,Astronomy & Astrophysics
198648,Genetics & Heredity
315497,"Mathematics, Applied"
116615,Astronomy & Astrophysics
140838,Crystallography
151141,"Engineering, Environmental"
77639,Food Science & Technology
227381,"Engineering, Electrical & Electronic"
132513,Orthopedics
104360,Biochemistry & Molecular Biology
194936,Critical Care Medicine
203991,"Chemistry, Multidisciplinary"
191794,Hematology
307275,Genetics & Heredity
306959,Telecommunications
86489,Surgery
25467,"Physics, Multidisciplinary"
202235,"Engineering, Chemical"
34968,"Physics, Applied"
151429,Telecommunications
300083,"Computer Science, Software Engineering"
108007,Neurosciences
22059,Neurosciences
6178,Instruments & Instrumentation
313152,"Computer Science, Hardware & Architecture"
78946,Astronomy & Astrophysics
112611,Hematology
240387,Hematology
22059,Endocrinology & Metabolism
187240,Astronomy & Astrophysics
35515,Instruments & Instrumentation
150970,"Computer Science, Theory & Methods"
248915,"Agriculture, Dairy & Animal Science"
159948,Oncology
63908,Astronomy & Astrophysics
120801,"Engineering, Environmental"
184538,Oncology
297916,Plant Sciences
116936,"Physics, Particles & Fields"
23794,Metallurgy & Metallurgical Engineering
140838,"Materials Science, Multidisciplinary"
203991,"Chemistry, Physical"
202183,Cell Biology
224079,Biochemistry & Molecular Biology
13158,Hematology
60763,Hematology
72557,Cardiac & Cardiovascular Systems
212972,Hematology
64902,Urology & Nephrology
74240,Surgery
211172,Nuclear Science & Technology
154292,"Physics, Applied"
270781,Oncology
188725,Environmental Sciences
276039,Astronomy & Astrophysics
42460,Biochemistry & Molecular Biology
164545,Peripheral Vascular Disease
245462,Water Resources
255000,Astronomy & Astrophysics
280006,Hematology
18738,"Physics, Applied"
233393,Telecommunications
261132,"Engineering, Mechanical"
69739,"Chemistry, Physical"
165419,Cell Biology
185052,"Physics, Atomic, Molecular & Chemical"
5522,"Physics, Particles & Fields"
273217,"Physics, Particles & Fields"
8378,Cardiac & Cardiovascular Systems
160074,Hematology
15104,Hematology
119102,Biochemistry & Molecular Biology
225501,Operations Research & Management Science
261383,Neurosciences
273010,Biochemistry & Molecular Biology
158268,Telecommunications
35106,"Physics, Particles & Fields"
147304,"Engineering, Electrical & Electronic"
124272,Cardiac & Cardiovascular Systems
152807,Telecommunications
110390,Multidisciplinary Sciences
280007,Oncology
58025,Astronomy & Astrophysics
26129,"Physics, Applied"
241548,Cardiac & Cardiovascular Systems
255406,Urology & Nephrology
295399,Genetics & Heredity
178934,Instruments & Instrumentation
259752,"Chemistry, Medicinal"
120658,"Computer Science, Information Systems"
57160,Urology & Nephrology
2405,Optics
65108,Oncology
6175,Instruments & Instrumentation
71568,Biochemical Research Methods
2094,Astronomy & Astrophysics
10569,"Engineering, Petroleum"
14025,"Mathematics, Applied"
187321,"Chemistry, Physical"
240708,"Physics, Multidisciplinary"
70254,Biodiversity Conservation
56041,Mechanics
113249,Biochemistry & Molecular Biology
290848,Immunology
151430,Telecommunications
113968,"Physics, Particles & Fields"
220634,"Engineering, Multidisciplinary"
103612,Telecommunications
259428,"Chemistry, Analytical"
95911,"Materials Science, Multidisciplinary"
185598,Clinical Neurology
255878,Oceanography
237771,"Agriculture, Dairy & Animal Science"
185052,Optics
153383,"Engineering, Electrical & Electronic"
256630,Pharmacology & Pharmacy
290868,Oncology
15205,Astronomy & Astrophysics
315158,Endocrinology & Metabolism
310382,"Materials Science, Multidisciplinary"
99538,Biotechnology & Applied Microbiology
218779,Telecommunications
80073,Oncology
290422,Spectroscopy
290882,Transplantation
43056,"Chemistry, Physical"
233398,Telecommunications
225330,"Computer Science, Theory & Methods"
11412,Telecommunications
240632,Hematology
213271,"Physics, Multidisciplinary"
229074,"Computer Science, Hardware & Architecture"
207959,Biophysics
109301,Astronomy & Astrophysics
112561,Hematology
38593,Geochemistry & Geophysics
40271,Biotechnology & Applied Microbiology
205881,"Computer Science, Information Systems"
155205,Pharmacology & Pharmacy
218771,"Engineering, Electrical & Electronic"
63433,"Computer Science, Interdisciplinary Applications"
28046,"Engineering, Mechanical"
228886,"Engineering, Electrical & Electronic"
293576,Polymer Science
217428,Political Science
168357,Endocrinology & Metabolism
74386,Clinical Neurology
184533,Hematology
185272,"Chemistry, Medicinal"
145159,"Physics, Applied"
199752,Cardiac & Cardiovascular Systems
282004,Hematology
204450,Astronomy & Astrophysics
124185,Neurosciences
115210,Cardiac & Cardiovascular Systems
310916,Astronomy & Astrophysics
153443,"Engineering, Electrical & Electronic"
191807,Hematology
6173,Instruments & Instrumentation
57201,Biology
36409,"Physics, Multidisciplinary"
198508,Geochemistry & Geophysics
228215,Telecommunications
240038,"Materials Science, Coatings & Films"
71715,"Chemistry, Physical"
170134,"Physics, Condensed Matter"
31852,"Physics, Condensed Matter"
140837,Crystallography
268592,"Medicine, General & Internal"
185965,Oncology
51686,Urology & Nephrology
200987,"Chemistry, Physical"
63433,"Computer Science, Information Systems"
122690,Hematology
309295,"Engineering, Industrial"
218782,"Computer Science, Theory & Methods"
201831,Biophysics
99751,Immunology
262034,Evolutionary Biology
55857,Telecommunications
212438,Mechanics
153840,Telecommunications
38662,Oncology
240441,Hematology
155641,Urology & Nephrology
14025,Mathematics
106385,Neurosciences
21861,Astronomy & Astrophysics
87328,Cardiac & Cardiovascular Systems
252967,Acoustics
234202,Robotics
39459,"Physics, Multidisciplinary"
236225,Urology & Nephrology
150881,Telecommunications
52485,"Physics, Applied"
97745,Endocrinology & Metabolism
229262,"Computer Science, Hardware & Architecture"
72814,Clinical Neurology
137287,"Physics, Multidisciplinary"
14043,Hematology
191811,Hematology
282348,"Computer Science, Interdisciplinary Applications"
266394,Mechanics
216761,"Computer Science, Software Engineering"
258920,"Chemistry, Medicinal"
94363,Biodiversity Conservation
276367,Genetics & Heredity
255468,Hematology
113968,Spectroscopy
19517,Neurosciences
166559,"Geosciences, Multidisciplinary"
215147,"Chemistry, Multidisciplinary"
155292,Transplantation
266036,Food Science & Technology
186440,"Engineering, Electrical & Electronic"
279401,Parasitology
121966,"Physics, Particles & Fields"
218404,Medical Informatics
74240,Orthopedics
297443,Mechanics
250321,"Physics, Multidisciplinary"
209077,Immunology
233750,"Engineering, Electrical & Electronic"
280799,Infectious Diseases
76451,Astronomy & Astrophysics
14560,Gastroenterology & Hepatology
69286,Environmental Sciences
121194,"Computer Science, Artificial Intelligence"
3001,"Physics, Particles & Fields"
246823,Microbiology
316486,"Computer Science, Theory & Methods"
172017,Hematology
78378,"Chemistry, Physical"
308338,"Physics, Applied"
29233,Polymer Science
207137,"Physics, Condensed Matter"
30175,Astronomy & Astrophysics
18092,Respiratory System
20419,"Medicine, General & Internal"
280247,Mining & Mineral Processing
66463,Astronomy & Astrophysics
141505,"Chemistry, Multidisciplinary"
124290,"Physics, Applied"
217872,"Geography, Physical"
6171,Instruments & Instrumentation
124290,"Chemistry, Physical"
13756,"Physics, Particles & Fields"
238861,Astronomy & Astrophysics
116390,Hematology
134412,"Computer Science, Artificial Intelligence"
214001,"Physics, Applied"
190056,Gerontology
258465,"Computer Science, Information Systems"
74920,Urology & Nephrology
90110,Endocrinology & Metabolism
125628,Urology & Nephrology
140398,"Computer Science, Theory & Methods"
159408,Hematology
212151,Surgery
98060,Cardiac & Cardiovascular Systems
295326,Neurosciences
71568,Spectroscopy
96839,"Physics, Mathematical"
288165,"Materials Science, Multidisciplinary"
151954,Agronomy
34557,Transplantation
189878,Genetics & Heredity
166559,"Computer Science, Interdisciplinary Applications"
308997,"Computer Science, Hardware & Architecture"
26129,Energy & Fuels
305770,Orthopedics
205880,Telecommunications
249346,Hematology
294249,"Engineering, Electrical & Electronic"
212151,Clinical Neurology
44092,Food Science & Technology
217428,Law
137725,"Computer Science, Artificial Intelligence"
218811,Cardiac & Cardiovascular Systems
261132,"Engineering, Manufacturing"
203179,Instruments & Instrumentation
84040,Astronomy & Astrophysics
13517,"Engineering, Petroleum"
78964,Astronomy & Astrophysics
149313,Telecommunications
252411,Immunology
217872,"Geosciences, Multidisciplinary"
231931,"Computer Science, Hardware & Architecture"
207944,Immunology
65119,Hematology
235685,Neurosciences
110000,Urology & Nephrology
87329,Cell Biology
219798,Optics
201084,"Engineering, Mechanical"
6359,Geochemistry & Geophysics
152848,"Engineering, Electrical & Electronic"
207924,Transplantation
214283,"Medicine, General & Internal"
111564,"Physics, Particles & Fields"
78558,Orthopedics
114792,Immunology
260939,"Medicine, Research & Experimental"
134213,Virology
220792,Nuclear Science & Technology
202183,Pathology
123499,Biochemistry & Molecular Biology
34582,Oncology
302835,"Computer Science, Information Systems"
268384,Neurosciences
120269,Oncology
286553,Polymer Science
157463,Surgery
280016,Oncology
99751,Hematology
294023,Urology & Nephrology
111999,Surgery
302886,"Computer Science, Software Engineering"
162066,"Physics, Particles & Fields"
154398,Astronomy & Astrophysics
269036,"Physics, Multidisciplinary"
122690,Immunology
238232,Hematology
176733,Remote Sensing
116938,"Physics, Particles & Fields"
220634,"Computer Science, Interdisciplinary Applications"
243290,"Physics, Nuclear"
233517,Telecommunications
131774,Hematology
41841,"Physics, Condensed Matter"
159516,Hematology
176733,Environmental Sciences
243306,"Physics, Nuclear"
63332,"Geosciences, Multidisciplinary"
73767,"Mathematics, Applied"
147773,"Engineering, Electrical & Electronic"
302866,"Computer Science, Theory & Methods"
208393,Urology & Nephrology
315689,"Engineering, Electrical & Electronic"
169062,Orthopedics
229418,Surgery
28302,Optics
110181,Hematology
296250,"Engineering, Electrical & Electronic"
214780,"Computer Science, Artificial Intelligence"
115503,Hematology
6179,Instruments & Instrumentation
242893,Urology & Nephrology
76114,"Engineering, Electrical & Electronic"
74472,Pharmacology & Pharmacy
233382,"Computer Science, Hardware & Architecture"
142799,Oncology
213710,Genetics & Heredity
21267,Oncology
310382,"Physics, Multidisciplinary"
207386,Energy & Fuels
316486,"Computer Science, Artificial Intelligence"
229418,"Engineering, Electrical & Electronic"
48998,Astronomy & Astrophysics
39487,"Physics, Condensed Matter"
306468,"Medicine, Research & Experimental"
259506,Psychiatry
282022,Urology & Nephrology
75366,Infectious Diseases
82850,Hematology
310522,"Physics, Applied"
18292,"Physics, Mathematical"
157463,Clinical Neurology
26871,Astronomy & Astrophysics
245462,"Engineering, Civil"
219700,"Engineering, Electrical & Electronic"
124290,"Chemistry, Multidisciplinary"
34564,Transplantation
159450,Hematology
129553,Genetics & Heredity
221719,"Chemistry, Medicinal"
313182,"Computer Science, Hardware & Architecture"
259645,Astronomy & Astrophysics
96661,Pharmacology & Pharmacy
188997,Mycology
25814,Telecommunications
4979,Biotechnology & Applied Microbiology
63529,"Computer Science, Information Systems"
140398,Remote Sensing
288906,"Physics, Applied"
219345,"Computer Science, Artificial Intelligence"
5527,"Physics, Particles & Fields"
166900,Urology & Nephrology
86489,Orthopedics
92737,"Materials Science, Coatings & Films"
78378,"Chemistry, Multidisciplinary"
25467,"Physics, Particles & Fields"
259752,"Chemistry, Organic"
284684,"Computer Science, Information Systems"
26672,Ecology
156235,"Engineering, Electrical & Electronic"
132513,Surgery
144008,"Computer Science, Theory & Methods"
175942,"Physics, Condensed Matter"
313134,"Computer Science, Theory & Methods"
28302,"Physics, Atomic, Molecular & Chemical"
255879,Oceanography
275571,"Chemistry, Applied"
24209,"Physics, Multidisciplinary"
65513,Nuclear Science & Technology
235293,Hematology
104360,"Chemistry, Multidisciplinary"
134412,"Computer Science, Theory & Methods"
179819,"Physics, Mathematical"
155280,Urology & Nephrology
27815,Biochemistry & Molecular Biology
155174,Astronomy & Astrophysics
291841,Telecommunications
75011,Oncology
306257,Biochemical Research Methods
126475,"Materials Science, Multidisciplinary"
207944,Hematology
128546,Endocrinology & Metabolism
81659,Anatomy & Morphology
90834,Astronomy & Astrophysics
119102,Oncology
121893,"Physics, Applied"
273010,Oncology
38884,Plant Sciences
227752,"Engineering, Electrical & Electronic"
114792,Hematology
240928,Oncology
288632,Telecommunications
285036,"Engineering, Mechanical"
222840,"Engineering, Manufacturing"
104757,Immunology
12635,Biochemistry & Molecular Biology
316721,Virology
57838,Biochemistry & Molecular Biology
221731,Biochemistry & Molecular Biology
293543,Oncology
125556,Urology & Nephrology
219926,Evolutionary Biology
81659,"Radiology, Nuclear Medicine & Medical Imaging"
254713,Operations Research & Management Science
308020,"Chemistry, Organic"
72814,Pathology
140398,"Computer Science, Information Systems"
156071,Nuclear Science & Technology
151954,Plant Sciences
194986,Telecommunications
58023,Astronomy & Astrophysics
10569,Energy & Fuels
34557,Hematology
69300,Medical Laboratory Technology
191750,Hematology
252066,Astronomy & Astrophysics
228073,"Engineering, Electrical & Electronic"
19641,Astronomy & Astrophysics
283288,"Physics, Applied"
302886,"Engineering, Electrical & Electronic"
159613,Hematology
151141,"Engineering, Ocean"
78945,Astronomy & Astrophysics
154292,"Materials Science, Coatings & Films"
227913,Telecommunications
258464,Telecommunications
124130,Biochemistry & Molecular Biology
73584,Urology & Nephrology
142619,Telecommunications
10353,"Geography, Physical"
110017,"Medicine, Research & Experimental"
261383,"Psychology, Experimental"
75083,"Engineering, Electrical & Electronic"
288164,"Materials Science, Multidisciplinary"
83835,"Materials Science, Multidisciplinary"
3002,Astronomy & Astrophysics
124290,Nanoscience & Nanotechnology
242856,"Education, Scientific Disciplines"
42181,Oncology
32111,Neurosciences
186440,"Computer Science, Information Systems"
71189,Infectious Diseases
201831,Biochemistry & Molecular Biology
207924,Hematology
66530,Hematology
52838,"Engineering, Electrical & Electronic"
30634,Hematology
309295,Operations Research & Management Science
307003,"Computer Science, Artificial Intelligence"
156939,Biochemistry & Molecular Biology
25606,Hematology
242111,Astronomy & Astrophysics
151954,Horticulture
253489,Urology & Nephrology
85183,Pharmacology & Pharmacy
229074,"Engineering, Electrical & Electronic"
57930,"Engineering, Chemical"
240560,Hematology
142307,Medical Informatics
203179,Nuclear Science & Technology
187542,"Computer Science, Artificial Intelligence"
10353,"Geosciences, Multidisciplinary"
209077,Virology
223383,Cell Biology
133868,"Chemistry, Analytical"
270924,Infectious Diseases
108519,Polymer Science
169925,"Physics, Nuclear"
96661,Biochemistry & Molecular Biology
228215,Transportation Science & Technology
37559,Astronomy & Astrophysics
164545,Cardiac & Cardiovascular Systems
209255,"Chemistry, Physical"
79684,"Radiology, Nuclear Medicine & Medical Imaging"
219973,"Physics, Multidisciplinary"
19648,Astronomy & Astrophysics
231849,"Computer Science, Information Systems"
224058,"Physics, Particles & Fields"
20223,"Chemistry, Organic"
83022,Hematology
168944,Astronomy & Astrophysics
135093,"Agriculture, Multidisciplinary"
146033,Peripheral Vascular Disease
89763,Peripheral Vascular Disease
105751,Endocrinology & Metabolism
34591,Biophysics
224954,"Physics, Fluids & Plasmas"
84088,Astronomy & Astrophysics
122690,Transplantation
13753,Astronomy & Astrophysics
134412,"Computer Science, Cybernetics"
218776,"Engineering, Electrical & Electronic"
309367,"Physics, Nuclear"
271550,Clinical Neurology
249638,Neurosciences
10486,"Physics, Multidisciplinary"
278403,Biochemistry & Molecular Biology
76447,Astronomy & Astrophysics
34564,Immunology
240038,"Physics, Applied"
88887,Urology & Nephrology
240038,"Chemistry, Physical"
104295,Astronomy & Astrophysics
241548,Peripheral Vascular Disease
316486,"Computer Science, Information Systems"
127377,"Physics, Particles & Fields"
20147,"Physics, Multidisciplinary"
295399,Cell Biology
98921,"Physics, Nuclear"
6177,Instruments & Instrumentation
26672,Genetics & Heredity
155292,Hematology
55776,Respiratory System
7425,Astronomy & Astrophysics
258465,"Engineering, Electrical & Electronic"
140753,"Chemistry, Physical"
16136,Cell Biology
187238,"Physics, Particles & Fields"
1469,"Physics, Nuclear"
301030,"Computer Science, Theory & Methods"
310382,Polymer Science
313134,"Computer Science, Information Systems"
256142,"Physics, Particles & Fields"
5252,"Engineering, Petroleum"
280247,Nuclear Science & Technology
227381,"Computer Science, Hardware & Architecture"
156939,Neurosciences
109667,Mathematics
6176,Instruments & Instrumentation
65513,Instruments & Instrumentation
228287,"Computer Science, Theory & Methods"
198699,Anesthesiology
62916,Infectious Diseases
140395,"Computer Science, Theory & Methods"
34557,Immunology
63529,"Engineering, Electrical & Electronic"
168286,Astronomy & Astrophysics
233749,"Engineering, Electrical & Electronic"
108452,Biochemistry & Molecular Biology
131246,"Physics, Particles & Fields"
286267,Biochemistry & Molecular Biology
41841,"Materials Science, Multidisciplinary"
223321,"Computer Science, Theory & Methods"
232720,Astronomy & Astrophysics
76585,Environmental Sciences
302254,"Mathematics, Applied"
313152,"Engineering, Electrical & Electronic"
200718,Dermatology
76114,"Computer Science, Information Systems"
110936,"Physics, Nuclear"
27699,"Physics, Mathematical"
4979,Oncology
306203,"Computer Science, Artificial Intelligence"
43790,"Physics, Mathematical"
169055,Orthopedics
120801,Energy & Fuels
196392,"Physics, Multidisciplinary"
158336,Tropical Medicine
